,city,nazwa,
1,apple,katowice,1
2,apricot,kielce,
3,banana,myslowice,
4,berry,gdynia,
5,blackberry,siemianowice slaskie,
6,blackcurrant,jelenia gora,
7,blood_orange,przemysl,
8,blueberry,suwalki,
9,cantaloupe,slupsk,
10,cherry,gliwice,
11,clementine,czestochowa,1
12,cloudberry,piekary slaskie,
13,coconut,lodz,
14,cranberry,skierniewice,1
15,cucumber,nowy sacz,
16,currant,jaworzno,
17,damson,leszno,
18,dragonfruit,lublin,
19,durian,piotrkow trybunalski,
20,elderberry,kalisz,
21,fig,biala podlaska,
22,goji_berry,elblag,
23,grape,radom,
24,grapefruit,zamosc,1
25,guava,olsztyn,
26,honeydew,gorzow wielkopolski,
27,jackfruit,torun,
28,jambul,wloclawek,
29,jujube,sopot,1
30,kiwano,plock,
31,kiwi,tarnobrzeg,
32,kumquat,bialystok,
33,lemon,warszawa,
34,lime,zielona gora,
35,longan,koszalin,
36,lychee,krakow,
37,mandarine,bielsko-biala,
38,mango,wroclaw,
39,mangosteen,zabrze,
40,melon,swinoujscie,
41,miracle_fruit,ostroleka,
42,mulberry,walbrzych,
43,nance,sosnowiec,
44,nectarine,ruda slaska,
45,orange,konin,
46,papaya,bydgoszcz,
47,passionfruit,tarnow,
48,peach,rybnik,
49,pear,jastrzebie-zdroj,
50,pineapple,siedlce,
51,plum,opole,
52,plumcot,swietochlowice,
53,pomegranate,krosno,
54,pomelo,gdansk,
55,poznan,poznan,1
56,prune,legnica,
57,quince,rzeszow,
58,raisin,chelm,
59,raspberry,"grudziadz
",
60,redcurrant,bytom,
61,star_fruit,chorzow,
62,strawberry,zory,
63,tamarillo,lomza,1
64,tangerine,dabrowa gornicza,
65,watermelon,tychy,
66,wild_strawberry,szczecin,
